payitem_number,payitem_desc,unit,quantity,county,district,contract,item,awarded_price,letting_date,id
X0323003,TEMP ELECT SERV INST,EACH,1.000,WINNEBAGO,2,64B87,45,2933.88,11/9/2018,
X0323013,TUBULAR STEEL GATE,EACH,7.000,WINNEBAGO,2,46903,99,3365.08,11/9/2018,
X0323260,SEDIMENT BASIN,EACH,14.000,SANGAMON,6,72B37,22,1119.84,11/9/2018,
X0323265,REMOVE EXIST RIPRAP,SQ YD,529.000,WINNEBAGO,2,46903,99,17.77,11/9/2018,
X0323371,VIDEO VEH DET  1 CAM,EACH,2.000,KANE,1,61E99,81,6285.52,11/9/2018,
X0323388,TRAFFIC COUNTER,EACH,3.000,WINNEBAGO,2,46903,99,7548,11/9/2018,
X0323432,MICROPILE LOAD TEST,EACH,1.000,COOK,1,60X79,3,63750,11/9/2018,
X0323433,MIC-PIL PRF LOAD TEST,EACH,1.000,COOK,1,60X79,3,46137.63,11/9/2018,
X0323553,ORN FENCE WRT IRON,FOOT,88.000,COOK,1,60X79,3,134.73,11/9/2018,
X0323553,ORN FENCE WRT IRON,FOOT,35.000,COOK,1,60X93,4,160,11/9/2018,
X0323569,STEEL POST REMOVAL,EACH,5.000,COOK,1,60X93,4,260,11/9/2018,
X0323569,STEEL POST REMOVAL,EACH,18.000,PEORIA,4,68185,42,50,11/9/2018,
X0323660,DROP BOX NO.1,EACH,1.000,LAKE,1,62D35,7,17000,11/9/2018,
X0323661,DROP BOX NO.2,EACH,1.000,LAKE,1,62D35,7,17000,11/9/2018,
X0323710,REMOV COND ATT TO STR,FOOT,122.000,COOK,1,60X79,3,7.7,11/9/2018,
X0323906,CAMERA POLE  45 FT,EACH,2.000,KANE,1,61E99,81,4879.52,11/9/2018,
X0323920,POLE MT EQUIP CAB TB,EACH,2.000,KANE,1,61E99,81,14220.03,11/9/2018,
X0323927,MAINTAIN LIGHTING SYS,EACH,12.000,KANE,1,61E99,81,1788.81,11/9/2018,
X0323986,REL EX VIDEO VEH DET,EACH,1.000,KANE,1,61E75,80,385,11/9/2018,
